STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
18850,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18850.00,4,0,0.0,0,0.0,1510.05,27.549999999999955,1.8583473861720037,12800,12750,200,1236.2,200,1312.0,17562
18900,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18900.00,14174,-3967,-21.867592745714127,30464,37.88,0.75,-1.4,-65.11627906976743,550150,118200,4400,0.75,2350,1.6,17562
18900,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18900.00,9,0,0.0,0,0.0,1561.4,28.15000000000009,1.8359693461601232,12300,12250,200,1284.4,1000,1391.1,17562
18950,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE18950.00,526,-44,-7.719298245614035,6621,40.35,1.0,-1.0,-50.0,60900,29200,4750,0.65,2000,1.0,17562
18950,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE18950.00,0,0,0.0,0,0.0,0.0,0.0,0.0,14850,12100,1000,1339.25,50,1410.8,17562
19000,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE19000.00,46482,289,0.6256359188621653,100263,40.02,0.7,-1.3,-65.0,1047600,373100,3600,0.7,35900,0.75,17562
19000,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE19000.00,2,0,0.0,0,0.0,1388.55,0.0,0.0,15050,12250,200,1397.75,200,1486.25,17562
19050,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE19050.00,270,100,58.8235294117647,726,42.59,0.95,-1.0,-51.28205128205129,69300,72500,2450,0.6,600,1.0,17562
19050,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE19050.00,9,1,12.5,1,117.04,1627.35,-130.35000000000014,-7.415941286909036,10050,10050,200,1440.4,50,1548.3,17562
19100,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE19100.00,5676,296,5.50185873605948,11830,43.0,0.8,-1.0,-55.55555555555556,243750,102650,1000,0.75,1250,0.8,17562
19100,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE19100.00,1,0,0.0,2,126.62,1703.0,184.0999999999999,12.120613601948772,10300,10850,500,1511.05,50,1561.2,17562
19150,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE19150.00,3373,-530,-13.579297975915962,9348,43.59,0.7,-1.05,-60.0,186500,82200,5200,0.6,450,0.7,17562
19150,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE19150.00,8,0,0.0,0,0.0,1800.7,0.0,0.0,11750,9000,500,1546.5,50,1625.65,17562
